id,subject,level,question_text,options,correct_answer,hint,image_url,audio_url
eng-4-004,english,4,"""Sun"" の意味はどれ？","[""太陽"", ""月"", ""星""]",太陽,Sun は 太陽 のことだよ。,,
eng-4-005,english,4,"""Moon"" の意味はどれ？","[""月"", ""太陽"", ""地球""]",月,Moon は 月 のことだよ。,,
eng-5-001,english,5,"""Star"" の意味はどれ？","[""星"", ""雲"", ""山""]",星,Star は 星 のことだよ。,,
eng-5-002,english,5,"""Tree"" の意味はどれ？","[""木"", ""花"", ""草""]",木,Tree は 木 のことだよ。,,
eng-5-003,english,5,"""Flower"" の意味はどれ？","[""花"", ""木"", ""草""]",花,Flower は 花 のことだよ。,,
eng-5-004,english,5,"""Bird"" の意味はどれ？","[""とり"", ""ねこ"", ""いぬ""]",とり,Bird は とり のことだよ。,,
eng-5-005,english,5,"""Fish"" の意味はどれ？","[""さかな"", ""いぬ"", ""ねこ""]",さかな,Fish は さかな のことだよ。,,
eng-6-001,english,6,"""Ball"" の意味はどれ？","[""ボール"", ""本"", ""ペン""]",ボール,Ball は ボール のことだよ。,,
eng-6-002,english,6,"""Pen"" の意味はどれ？","[""ペン"", ""ノート"", ""本""]",ペン,Pen は ペン のことだよ。,,
eng-6-003,english,6,"""Desk"" の意味はどれ？","[""机"", ""椅子"", ""棚""]",机,Desk は 机 のことだよ。,,
eng-6-004,english,6,"""Friend"" の意味はどれ？","[""友達"", ""先生"", ""家族""]",友達,Friend は 友達 のことだよ。,,
eng-6-005,english,6,"""Family"" の意味はどれ？","[""家族"", ""友達"", ""先生""]",家族,Family は 家族 のことだよ。,,
eng-7-001,english,7,"""Mother"" の意味はどれ？","[""母"", ""父"", ""兄""]",母,Mother は 母 のことだよ。,,
eng-7-002,english,7,"""Father"" の意味はどれ？","[""父"", ""母"", ""姉""]",父,Father は 父 のことだよ。,,
eng-7-003,english,7,"""Brother"" の意味はどれ？","[""兄"", ""弟"", ""姉""]",兄,Brother は 兄 のことだよ。,,
eng-7-004,english,7,"""Sister"" の意味はどれ？","[""姉"", ""妹"", ""兄""]",姉,Sister は 姉 のことだよ。,,
eng-7-005,english,7,"""Food"" の意味はどれ？","[""食べ物"", ""飲み物"", ""お菓子""]",食べ物,Food は 食べ物 のことだよ。,,
eng-8-001,english,8,"""Drink"" の意味はどれ？","[""飲み物"", ""食べ物"", ""水""]",飲み物,Drink は 飲み物 のことだよ。,,
eng-8-002,english,8,"""Water"" の意味はどれ？","[""水"", ""牛乳"", ""ジュース""]",水,Water は 水 のことだよ。,,
eng-8-003,english,8,"""Juice"" の意味はどれ？","[""ジュース"", ""水"", ""牛乳""]",ジュース,Juice は ジュース のことだよ。,,
eng-8-004,english,8,"""Music"" の意味はどれ？","[""音楽"", ""映画"", ""本""]",音楽,Music は 音楽 のことだよ。,,
eng-8-005,english,8,"""Movie"" の意味はどれ？","[""映画"", ""音楽"", ""本""]",映画,Movie は 映画 のことだよ。,,
eng-9-001,english,9,"""Game"" の意味はどれ？","[""ゲーム"", ""本"", ""運動""]",ゲーム,Game は ゲーム のことだよ。,,
eng-9-002,english,9,"""Computer"" の意味はどれ？","[""コンピュータ"", ""本"", ""テレビ""]",コンピュータ,Computer は コンピュータ のことだよ。,,
eng-9-003,english,9,"""Phone"" の意味はどれ？","[""電話"", ""時計"", ""コンピュータ""]",電話,Phone は 電話 のことだよ。,,
eng-9-004,english,9,"""Watch"" の意味はどれ？","[""時計"", ""電話"", ""コンピュータ""]",時計,Watch は 時計 のことだよ。,,
eng-9-005,english,9,"""Bike"" の意味はどれ？","[""自転車"", ""車"", ""バス""]",自転車,Bike は 自転車 のことだよ。,,
eng-10-001,english,10,"""Bus"" の意味はどれ？","[""バス"", ""電車"", ""飛行機""]",バス,Bus は バス のことだよ。,,
eng-10-002,english,10,"""Train"" の意味はどれ？","[""電車"", ""バス"", ""飛行機""]",電車,Train は 電車 のことだよ。,,
eng-10-003,english,10,"""Plane"" の意味はどれ？","[""飛行機"", ""船"", ""バス""]",飛行機,Plane は 飛行機 のことだよ。,,
eng-10-004,english,10,"""Ship"" の意味はどれ？","[""船"", ""飛行機"", ""電車""]",船,Ship は 船 のことだよ。,,
eng-10-005,english,10,"""River"" の意味はどれ？","[""川"", ""山"", ""海""]",川,River は 川 のことだよ。,,
math-1-001,math,1,2 + 1 は？,"[""3"", ""4"", ""2""]",3,2 + 1 は？ を考えてごらん。,,
math-1-002,math,1,3 + 2 は？,"[""5"", ""6"", ""4""]",5,3 + 2 は？ を考えてごらん。,,
math-1-003,math,1,4 + 3 は？,"[""7"", ""8"", ""6""]",7,4 + 3 は？ を考えてごらん。,,
math-1-004,math,1,5 + 4 は？,"[""9"", ""10"", ""8""]",9,5 + 4 は？ を考えてごらん。,,
math-1-005,math,1,6 + 5 は？,"[""11"", ""12"", ""10""]",11,6 + 5 は？ を考えてごらん。,,
math-2-001,math,2,4 + 1 は？,"[""5"", ""6"", ""4""]",5,4 + 1 は？ を考えてごらん。,,
math-2-002,math,2,5 + 2 は？,"[""7"", ""8"", ""6""]",7,5 + 2 は？ を考えてごらん。,,
math-2-003,math,2,6 + 3 は？,"[""9"", ""10"", ""8""]",9,6 + 3 は？ を考えてごらん。,,
math-2-004,math,2,7 + 4 は？,"[""11"", ""12"", ""10""]",11,7 + 4 は？ を考えてごらん。,,
math-2-005,math,2,8 + 5 は？,"[""13"", ""14"", ""12""]",13,8 + 5 は？ を考えてごらん。,,
math-3-001,math,3,6 + 1 は？,"[""7"", ""8"", ""6""]",7,6 + 1 は？ を考えてごらん。,,
math-3-002,math,3,7 + 2 は？,"[""9"", ""10"", ""8""]",9,7 + 2 は？ を考えてごらん。,,
math-3-003,math,3,8 + 3 は？,"[""11"", ""12"", ""10""]",11,8 + 3 は？ を考えてごらん。,,
math-3-004,math,3,9 + 4 は？,"[""13"", ""14"", ""12""]",13,9 + 4 は？ を考えてごらん。,,
math-3-005,math,3,10 + 5 は？,"[""15"", ""16"", ""14""]",15,10 + 5 は？ を考えてごらん。,,
math-4-001,math,4,8 × 1 は？,"[""8"", ""9"", ""7""]",8,8 × 1 は？ を考えてごらん。,,
math-4-002,math,4,9 × 2 は？,"[""18"", ""19"", ""17""]",18,9 × 2 は？ を考えてごらん。,,
math-4-003,math,4,10 × 3 は？,"[""30"", ""31"", ""29""]",30,10 × 3 は？ を考えてごらん。,,
math-4-004,math,4,11 × 4 は？,"[""44"", ""45"", ""43""]",44,11 × 4 は？ を考えてごらん。,,
math-4-005,math,4,12 × 5 は？,"[""60"", ""61"", ""59""]",60,12 × 5 は？ を考えてごらん。,,
math-5-001,math,5,10 × 1 は？,"[""10"", ""11"", ""9""]",10,10 × 1 は？ を考えてごらん。,,
math-5-002,math,5,11 × 2 は？,"[""22"", ""23"", ""21""]",22,11 × 2 は？ を考えてごらん。,,
math-5-003,math,5,12 × 3 は？,"[""36"", ""37"", ""35""]",36,12 × 3 は？ を考えてごらん。,,
math-5-004,math,5,13 × 4 は？,"[""52"", ""53"", ""51""]",52,13 × 4 は？ を考えてごらん。,,
math-5-005,math,5,14 × 5 は？,"[""70"", ""71"", ""69""]",70,14 × 5 は？ を考えてごらん。,,
math-6-001,math,6,12 × 1 は？,"[""12"", ""13"", ""11""]",12,12 × 1 は？ を考えてごらん。,,
math-6-002,math,6,13 × 2 は？,"[""26"", ""27"", ""25""]",26,13 × 2 は？ を考えてごらん。,,
math-6-003,math,6,14 × 3 は？,"[""42"", ""43"", ""41""]",42,14 × 3 は？ を考えてごらん。,,
math-6-004,math,6,15 × 4 は？,"[""60"", ""61"", ""59""]",60,15 × 4 は？ を考えてごらん。,,
math-6-005,math,6,16 × 5 は？,"[""80"", ""81"", ""79""]",80,16 × 5 は？ を考えてごらん。,,
math-7-001,math,7,16 ÷ 1 は？,"[""16"", ""17"", ""15""]",16,16 ÷ 1 は？ を考えてごらん。,,
math-7-002,math,7,34 ÷ 2 は？,"[""17"", ""18"", ""16""]",17,34 ÷ 2 は？ を考えてごらん。,,
math-7-003,math,7,54 ÷ 3 は？,"[""18"", ""19"", ""17""]",18,54 ÷ 3 は？ を考えてごらん。,,
math-7-004,math,7,76 ÷ 4 は？,"[""19"", ""20"", ""18""]",19,76 ÷ 4 は？ を考えてごらん。,,
math-7-005,math,7,100 ÷ 5 は？,"[""20"", ""21"", ""19""]",20,100 ÷ 5 は？ を考えてごらん。,,
math-8-001,math,8,18 ÷ 1 は？,"[""18"", ""19"", ""17""]",18,18 ÷ 1 は？ を考えてごらん。,,
math-8-002,math,8,38 ÷ 2 は？,"[""19"", ""20"", ""18""]",19,38 ÷ 2 は？ を考えてごらん。,,
math-8-003,math,8,60 ÷ 3 は？,"[""20"", ""21"", ""19""]",20,60 ÷ 3 は？ を考えてごらん。,,
math-8-004,math,8,84 ÷ 4 は？,"[""21"", ""22"", ""20""]",21,84 ÷ 4 は？ を考えてごらん。,,
math-8-005,math,8,110 ÷ 5 は？,"[""22"", ""23"", ""21""]",22,110 ÷ 5 は？ を考えてごらん。,,
math-9-001,math,9,20 ÷ 1 は？,"[""20"", ""21"", ""19""]",20,20 ÷ 1 は？ を考えてごらん。,,
math-9-002,math,9,42 ÷ 2 は？,"[""21"", ""22"", ""20""]",21,42 ÷ 2 は？ を考えてごらん。,,
math-9-003,math,9,66 ÷ 3 は？,"[""22"", ""23"", ""21""]",22,66 ÷ 3 は？ を考えてごらん。,,
math-9-004,math,9,92 ÷ 4 は？,"[""23"", ""24"", ""22""]",23,92 ÷ 4 は？ を考えてごらん。,,
math-9-005,math,9,120 ÷ 5 は？,"[""24"", ""25"", ""23""]",24,120 ÷ 5 は？ を考えてごらん。,,
math-10-001,math,10,22 ÷ 1 は？,"[""22"", ""23"", ""21""]",22,22 ÷ 1 は？ を考えてごらん。,,
math-10-002,math,10,46 ÷ 2 は？,"[""23"", ""24"", ""22""]",23,46 ÷ 2 は？ を考えてごらん。,,
math-10-003,math,10,72 ÷ 3 は？,"[""24"", ""25"", ""23""]",24,72 ÷ 3 は？ を考えてごらん。,,
math-10-004,math,10,100 ÷ 4 は？,"[""25"", ""26"", ""24""]",25,100 ÷ 4 は？ を考えてごらん。,,
math-10-005,math,10,130 ÷ 5 は？,"[""26"", ""27"", ""25""]",26,130 ÷ 5 は？ を考えてごらん。,,
