id,subject,level,question_text,options,correct_answer,hint,image_url,audio_url
eng-5-001,english,5,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
eng-5-002,english,5,"""Book"" の意味はどれ？","[""本"", ""ペン"", ""ノート""]",本,Book は 本 のことだよ。,,
eng-5-003,english,5,"""Chair"" の意味はどれ？","[""いす"", ""机"", ""ベッド""]",いす,Chair は いす のことだよ。,,
eng-5-004,english,5,"""Swim"" の意味はどれ？","[""泳ぐ"", ""飛ぶ"", ""歩く""]",泳ぐ,Swim は 泳ぐ のことだよ。,,
eng-5-005,english,5,"""School"" の意味はどれ？","[""学校"", ""病院"", ""図書館""]",学校,School は 学校 のことだよ。,,
math-5-001,math,5,9 + 25 は？,"[""7"", ""10"", ""34""]",34,9 + 25 は？ を考えてごらん。,,
math-5-002,math,5,480 ÷ 24 は？,"[""40"", ""20"", ""31""]",20,480 ÷ 24 は？ を考えてごらん。,,
math-5-003,math,5,7 + 25 は？,"[""33"", ""7"", ""32""]",32,7 + 25 は？ を考えてごらん。,,
math-5-004,math,5,4 - 11 は？,"[""-7"", ""10"", ""4""]",-7,4 - 11 は？ を考えてごらん。,,
math-5-005,math,5,2 - 7 は？,"[""47"", ""16"", ""-5""]",-5,2 - 7 は？ を考えてごらん。,,
eng-6-001,english,6,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
eng-6-002,english,6,"""Milk"" の意味はどれ？","[""牛乳"", ""水"", ""ジュース""]",牛乳,Milk は 牛乳 のことだよ。,,
eng-6-003,english,6,"""Book"" の意味はどれ？","[""本"", ""ペン"", ""ノート""]",本,Book は 本 のことだよ。,,
eng-6-004,english,6,"""Apple"" の意味はどれ？","[""りんご"", ""ばなな"", ""みかん""]",りんご,Apple は りんご のことだよ。,,
eng-6-005,english,6,"""Teacher"" の意味はどれ？","[""先生"", ""生徒"", ""医者""]",先生,Teacher は 先生 のことだよ。,,
math-6-001,math,6,16 - 10 は？,"[""6"", ""18"", ""37""]",6,16 - 10 は？ を考えてごらん。,,
math-6-002,math,6,30 × 18 は？,"[""41"", ""540"", ""31""]",540,30 × 18 は？ を考えてごらん。,,
math-6-003,math,6,100 ÷ 4 は？,"[""25"", ""27"", ""17""]",25,100 ÷ 4 は？ を考えてごらん。,,
math-6-004,math,6,16 × 1 は？,"[""28"", ""16"", ""35""]",16,16 × 1 は？ を考えてごらん。,,
math-6-005,math,6,2 × 18 は？,"[""38"", ""36"", ""11""]",36,2 × 18 は？ を考えてごらん。,,
eng-7-001,english,7,"""Happy"" の意味はどれ？","[""幸せ"", ""悲しい"", ""怒っている""]",幸せ,Happy は 幸せ のことだよ。,,
eng-7-002,english,7,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
eng-7-003,english,7,"""Big"" の意味はどれ？","[""大きい"", ""小さい"", ""速い""]",大きい,Big は 大きい のことだよ。,,
eng-7-004,english,7,"""Milk"" の意味はどれ？","[""牛乳"", ""水"", ""ジュース""]",牛乳,Milk は 牛乳 のことだよ。,,
eng-7-005,english,7,"""Chair"" の意味はどれ？","[""いす"", ""机"", ""ベッド""]",いす,Chair は いす のことだよ。,,
math-7-001,math,7,22 - 16 は？,"[""36"", ""6"", ""32""]",6,22 - 16 は？ を考えてごらん。,,
math-7-002,math,7,18 × 33 は？,"[""61"", ""39"", ""594""]",594,18 × 33 は？ を考えてごらん。,,
math-7-003,math,7,9 + 27 は？,"[""27"", ""56"", ""36""]",36,9 + 27 は？ を考えてごらん。,,
math-7-004,math,7,5 - 28 は？,"[""-23"", ""43"", ""3""]",-23,5 - 28 は？ を考えてごらん。,,
math-7-005,math,7,21 × 16 は？,"[""336"", ""59"", ""22""]",336,21 × 16 は？ を考えてごらん。,,
eng-8-001,english,8,"""Run"" の意味はどれ？","[""走る"", ""食べる"", ""寝る""]",走る,Run は 走る のことだよ。,,
eng-8-002,english,8,"""Teacher"" の意味はどれ？","[""先生"", ""生徒"", ""医者""]",先生,Teacher は 先生 のことだよ。,,
eng-8-003,english,8,"""Blue"" の意味はどれ？","[""青"", ""赤"", ""緑""]",青,Blue は 青 のことだよ。,,
eng-8-004,english,8,"""School"" の意味はどれ？","[""学校"", ""病院"", ""図書館""]",学校,School は 学校 のことだよ。,,
eng-8-005,english,8,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
math-8-001,math,8,37 + 30 は？,"[""54"", ""78"", ""67""]",67,37 + 30 は？ を考えてごらん。,,
math-8-002,math,8,1287 ÷ 39 は？,"[""33"", ""18"", ""58""]",33,1287 ÷ 39 は？ を考えてごらん。,,
math-8-003,math,8,34 × 34 は？,"[""34"", ""1156"", ""10""]",1156,34 × 34 は？ を考えてごらん。,,
math-8-004,math,8,152 ÷ 8 は？,"[""1"", ""56"", ""19""]",19,152 ÷ 8 は？ を考えてごらん。,,
math-8-005,math,8,864 ÷ 32 は？,"[""27"", ""5"", ""15""]",27,864 ÷ 32 は？ を考えてごらん。,,
eng-9-001,english,9,"""Book"" の意味はどれ？","[""本"", ""ペン"", ""ノート""]",本,Book は 本 のことだよ。,,
eng-9-002,english,9,"""School"" の意味はどれ？","[""学校"", ""病院"", ""図書館""]",学校,School は 学校 のことだよ。,,
eng-9-003,english,9,"""Apple"" の意味はどれ？","[""りんご"", ""ばなな"", ""みかん""]",りんご,Apple は りんご のことだよ。,,
eng-9-004,english,9,"""Happy"" の意味はどれ？","[""幸せ"", ""悲しい"", ""怒っている""]",幸せ,Happy は 幸せ のことだよ。,,
eng-9-005,english,9,"""Blue"" の意味はどれ？","[""青"", ""赤"", ""緑""]",青,Blue は 青 のことだよ。,,
math-9-001,math,9,1333 ÷ 43 は？,"[""56"", ""27"", ""31""]",31,1333 ÷ 43 は？ を考えてごらん。,,
math-9-002,math,9,4 + 30 は？,"[""34"", ""29"", ""56""]",34,4 + 30 は？ を考えてごらん。,,
math-9-003,math,9,43 + 27 は？,"[""17"", ""70"", ""33""]",70,43 + 27 は？ を考えてごらん。,,
math-9-004,math,9,768 ÷ 24 は？,"[""29"", ""32"", ""70""]",32,768 ÷ 24 は？ を考えてごらん。,,
math-9-005,math,9,33 × 17 は？,"[""79"", ""1"", ""561""]",561,33 × 17 は？ を考えてごらん。,,
eng-10-001,english,10,"""Book"" の意味はどれ？","[""本"", ""ペン"", ""ノート""]",本,Book は 本 のことだよ。,,
eng-10-002,english,10,"""Blue"" の意味はどれ？","[""青"", ""赤"", ""緑""]",青,Blue は 青 のことだよ。,,
eng-10-003,english,10,"""Run"" の意味はどれ？","[""走る"", ""食べる"", ""寝る""]",走る,Run は 走る のことだよ。,,
eng-10-004,english,10,"""Swim"" の意味はどれ？","[""泳ぐ"", ""飛ぶ"", ""歩く""]",泳ぐ,Swim は 泳ぐ のことだよ。,,
eng-10-005,english,10,"""Happy"" の意味はどれ？","[""幸せ"", ""悲しい"", ""怒っている""]",幸せ,Happy は 幸せ のことだよ。,,
math-10-001,math,10,37 × 46 は？,"[""91"", ""88"", ""1702""]",1702,37 × 46 は？ を考えてごらん。,,
math-10-002,math,10,16 + 12 は？,"[""62"", ""28"", ""44""]",28,16 + 12 は？ を考えてごらん。,,
math-10-003,math,10,17 + 31 は？,"[""48"", ""3"", ""79""]",48,17 + 31 は？ を考えてごらん。,,
math-10-004,math,10,46 - 28 は？,"[""18"", ""44"", ""3""]",18,46 - 28 は？ を考えてごらん。,,
math-10-005,math,10,13 - 24 は？,"[""99"", ""90"", ""-11""]",-11,13 - 24 は？ を考えてごらん。,,
